Item Name,Price (INR),Price (USD),Quantity,Vendor,Link
ESP32-S3 Development Board,1500,17.4496215,1,amazon,https://www.amazon.in/OceanLabz-ESP32-S3-DevKit-N16R8-MicroPython-Unsoldered/dp/B0F9XB91XG/ref=sr_1_12?crid=1EOB6AAFTSI5Q&dib=eyJ2IjoiMSJ9.GS6x6EgeKt_YjVPHJzZ0w5A0VlfUoC0kiDPV8yUx-Zu8t839PrFHdtKw5MA-V0vf3eFAniauZRL_CbeYiJETL60ldmoH0N0UurpCaMgEYe_LF0X1LWXrJSw5g6CL3GdcSkFtk9W-ZGheBICUgNmWjD6NDf3VHDus92MKJMZbdZuUKH1u3tCe5d_UD8JGkypipPKsIAqmgooAqG-nNTmSJ-KzYmpyRZpkGuCrcj-Ff2-MI2_on7U78PifCv_8L5Uw0ThPvS58WSftbBe2diloc5htQYn9iB-Z-pRvWMd7rLk.QjxQcikt_MBBr_ODe_Xgy0Sud8XI3B-ffAISjH9nC6I&dib_tag=se&keywords=ESP32-S3-DEVKITC-1-N16R8&qid=1752423388&s=industrial&sprefix=esp32-s3-devkitc-1-n16r8%2Cindustrial%2C229&sr=1-12
UDA1334A I2S DAC Stereo Decoder Module,338.66,3.939659211,1,ImportDukan,https://www.importdukan.com/uda1334a-i2s-dac-stereo-decoder-module (287 + 18% GST)
TDA1308 Headphone Amplifier Board,107.58,1.251486854,1,ImportDukan,https://www.importdukan.com/tda1308-stereo-driver-audio-module (91 + 18% GST)
MicroSD Card Module (SPI),61.36,0.7138058502,1,ImportDukan,https://www.importdukan.com/micro-sd-card-reader-module (52 + 18% GST)
Flat LiPo Battery (BIS Certified),449,5.223253369,1,ThinkRobotics,https://thinkrobotics.com/products/bis-certified-3-7v-lipo-batteries?variant=40048541728854&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=googleads&utm_medium=cpc&gad_source=1&gad_campaignid=18370256121&gbraid=0AAAAACk3EvxNoWlZK1FAQROxlG6a07_f5&gclid=CjwKCAjw4K3DBhBqEiwAYtG_9NHC_AGS-vmfFuXmNt7oXwdXvDQM30aM0Gwe1h7aKtnEdTjySH8b7hoC3zUQAvD_BwE (Price includes 80 shipping)
TP4056 Li-ion Charging Module (Type-C),85,1,2,ImportDukan,https://www.importdukan.com/tp4056-1a-li-ion-lithium-battery-charging-module-with-current-protection-type-c?search=TP4056+Li-ion+Charging+Module&description=true (35 + 18% GST)
ST7735 TFT LCD Display Module,400,4.6532324,1,roboticsdna,https://roboticsdna.in/product/1-8-inch-tft-lcd-module-128-x-160-with-4-io-spi/
tactile buttons 12mm,49,0.570020969,7,import dukan,https://www.importdukan.com/12x12x5mm-tactile-4-pin-push-button-switch
3.5mm TRS Stereo Audio Jack (Through-hole),50,0.58165405,2,robotics dna,https://roboticsdna.in/product/pj-307-3-5-mm-audio-jack-connector-pcb-mount-female-socket-5-pin/
sdpt switchdes both right and normal,40,0.46532324,1,Sharvi Electronics),https://roboticsdna.in/product/slide-switch-5mm-spdt-1p2t-pack-of-10/
